LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 4809, 0, 18.34061135371179, 90.0, 14.494658997534923,
1, 8189, 0, 7.9130540969593355, 50.0, 6.1802575107296125,
2, 990, 0, 11.363636363636363, 50.0, 9.028892455858747,
3, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
4, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
5, 14669, 0, 6.012679800940759, 100.0, 4.579439252336448,
6, 14237, 0, 3.1607782538456135, 100.0, 2.3900573613766736,
7, 1659, 0, 7.715491259795058, 100.0, 5.8986175115207375,
8, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
9, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
10, 3067, 0, 0.13042060645582002, 100.0, 0.09784735812133072,
