LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12865, 0, 13.501840021375825, 14.35546875, 13.238409562914413,
1, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
2, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
3, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
4, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
5, 4649, 0, 18.97182189718219, 37.5, 16.28808864265928,
6, 7209, 0, 10.549313358302122, 22.5, 8.962875662934591,
7, 1606, 0, 6.545765877957659, 12.5, 5.645810955961332,
8, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
9, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
10, 4809, 0, 18.34061135371179, 90.0, 14.494658997534923,
11, 8189, 0, 7.9130540969593355, 50.0, 6.1802575107296125,
12, 990, 0, 11.363636363636363, 50.0, 9.028892455858747,
13, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
14, 8189, 0, 15.826108193918671, 100.0, 12.360515021459225,
15, 14669, 0, 6.012679800940759, 100.0, 4.579439252336448,
16, 14237, 0, 3.1607782538456135, 100.0, 2.3900573613766736,
17, 1659, 0, 7.715491259795058, 100.0, 5.8986175115207375,
18, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
19, 28475, 0, 3.160667251975417, 100.0, 2.3900573613766736,
20, 3067, 0, 0.13042060645582002, 100.0, 0.09784735812133072,
