LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 12865.0, 15889.0, 774400,
1, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
2, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
3, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
4, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
5, 257.0, 4174.0, 451584, 1.0, 3356.0, 73728, 511.0, 4521.0, 301056, -25166.0, -1.0, 200704, -12583.0, -1.0, 73728, 4649.0, 5824.0, 301056,
6, 257.0, 6827.0, 778752, 1.0, 6024.0, 73728, 511.0, 7017.0, 216320, -12583.0, -1.0, 100352, -12583.0, -1.0, 73728, 7209.0, 8053.0, 216320,
7, 257.0, 1130.0, 53824, 193.0, 256.0, 8192, 511.0, 1478.0, 107648, -6292.0, -1.0, 50176, -6292.0, -1.0, 8192, 1606.0, 2026.0, 107648,
8, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -12583.0, -1.0, 100352, -18875.0, -1.0, 147456, 7209.0, 8898.0, 432640,
9, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -12583.0, -1.0, 100352, -18875.0, -1.0, 147456, 7209.0, 8898.0, 432640,
10, 257.0, 4412.0, 225792, 1.0, 4104.0, 294912, 511.0, 4809.0, 250880, -12583.0, -1.0, 100352, -31457.0, -1.0, 294912, 4809.0, 5788.0, 250880,
11, 257.0, 7935.0, 331776, 1.0, 7536.0, 294912, 511.0, 8061.0, 165888, -6292.0, -1.0, 50176, -31457.0, -1.0, 294912, 8189.0, 8836.0, 165888,
12, 257.0, 592.0, 28800, 129.0, 256.0, 32768, 511.0, 990.0, 57600, -6292.0, -1.0, 25088, -6292.0, -1.0, 32768, 990.0, 1214.0, 57600,
13, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -6292.0, -1.0, 50176, -62914.0, -1.0, 589824, 8189.0, 9484.0, 331776,
14, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -6292.0, -1.0, 50176, -62914.0, -1.0, 589824, 8189.0, 9484.0, 331776,
15, 257.0, 14407.0, 225792, 1.0, 14111.0, 1179648, 511.0, 14669.0, 225792, -6292.0, -1.0, 50176, -119537.0, -1.0, 1179648, 14669.0, 15550.0, 225792,
16, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -6292.0, -1.0, 25088, -119537.0, -1.0, 1179648, 14237.0, 14686.0, 115200,
17, 257.0, 1396.0, 32768, 1.0, 1086.0, 131072, 511.0, 1659.0, 32768, -6292.0, -1.0, 12544, -18875.0, -1.0, 131072, 1659.0, 1786.0, 32768,
18, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -6292.0, -1.0, 25088, -239074.0, -1.0, 2359296, 28475.0, 29374.0, 230400,
19, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -6292.0, -1.0, 25088, -239074.0, -1.0, 2359296, 28475.0, 29374.0, 230400,
20, 257.0, 2813.0, 1024, 1.0, 2557.0, 262144, 511.0, 3067.0, 1024, -6292.0, -1.0, 512, -31457.0, -1.0, 262144, 3067.0, 3070.0, 1024,
