LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12865, 0, 13.501840021375825, 14.35546875, 13.238409562914413,
1, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
2, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
3, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
4, 11045, 0, 14.850611136260751, 18.75, 13.887477774955551,
5, 4649, 0, 18.97182189718219, 37.5, 16.28808864265928,
6, 7209, 0, 10.549313358302122, 22.5, 8.962875662934591,
7, 1606, 0, 6.545765877957659, 12.5, 5.645810955961332,
8, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
9, 7209, 0, 21.098626716604244, 45.0, 17.925751325869182,
