LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, -18875.0, -1.0, 150528, -6292.0, -1.0, 1728, 16926.0, 50082.0, 3154431,
1, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, -81789.0, -1.0, 802816, -12583.0, -1.0, 73728, 8766.0, 40363.0, 4646655,
2, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, -44040.0, -1.0, 401408, -31457.0, -1.0, 294912, 5500.0, 20701.0, 3732735,
3, 257.0, 32883.0, 6718464, 1.0, 29712.0, 589824, 511.0, 33137.0, 6718464, -81789.0, -1.0, 802816, -62914.0, -1.0, 589824, 5500.0, 34805.0, 6718719,
4, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -25166.0, -1.0, 200704, -119537.0, -1.0, 1179648, 9305.0, 29931.0, 3115263,
5, 257.0, 51657.0, 6230016, 1.0, 50726.0, 2359296, 511.0, 51911.0, 6230016, -44040.0, -1.0, 401408, -239074.0, -1.0, 2359296, 9305.0, 55767.0, 6230271,
6, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -12583.0, -1.0, 100352, -239074.0, -1.0, 2359296, 26176.0, 33847.0, 1327359,
7, 257.0, 1604985.0, 65028096, 1.0, 1604586.0, 115605504, 511.0, 1605239.0, 65028096, -12583.0, -1.0, 100352, -314570.0, 1571823.0, 115605504, 26176.0, 1605303.0, 65028351,
8, 257.0, 1202401.0, 401408, 1.0, 1202145.0, 102760448, 511.0, 1202655.0, 401408, -6292.0, -1.0, 25088, -314570.0, 1177598.0, 102760448, 1202655.0, 1204222.0, 401408,
9, 257.0, 196097.0, 65536, 1.0, 195841.0, 16777216, 511.0, 196351.0, 65536, -6292.0, -1.0, 4096, -314570.0, 183569.0, 16777216, 196351.0, 196606.0, 65536,
10, 257.0, 196097.0, 65536, 1.0, 195841.0, 16777216, 511.0, 196351.0, 65536, -6292.0, -1.0, 4096, -314570.0, 183569.0, 16777216, 196351.0, 196606.0, 65536,
