LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12865, 0, 1.4767637523379809, 1.57012939453125, 1.447951045943764,
1, 3681, 0, 0.17406211797066015, 0.2197265625, 0.16274388017526034,
2, 3681, 0, 0.17406211797066015, 0.2197265625, 0.16274388017526034,
3, 3681, 0, 0.17406211797066015, 0.2197265625, 0.16274388017526034,
4, 3681, 0, 0.17406211797066015, 0.2197265625, 0.16274388017526034,
5, 1549, 0, 0.22242172369270496, 0.439453125, 0.19087603878116344,
6, 1441, 0, 0.20615566446911868, 0.439453125, 0.1750561652916912,
7, 1606, 0, 0.025569397960772105, 0.048828125, 0.022053949046723954,
8, 1441, 0, 0.41231132893823735, 0.87890625, 0.3501123305833824,
9, 1441, 0, 0.41231132893823735, 0.87890625, 0.3501123305833824,
10, 961, 0, 0.35851326742976064, 1.7578125, 0.28309880854560393,
11, 909, 0, 0.2784653465346535, 1.7578125, 0.21727467811158802,
12, 990, 0, 0.044389204545454544, 0.1953125, 0.03526911115569823,
13, 909, 0, 0.556930693069307, 3.515625, 0.43454935622317603,
14, 909, 0, 0.556930693069307, 3.515625, 0.43454935622317603,
15, 814, 0, 0.42325706388206386, 7.03125, 0.32199182242990654,
16, 1581, 0, 0.11118358633776092, 3.515625, 0.08402545411089866,
17, 829, 0, 0.06031363088057901, 0.78125, 0.04608294930875576,
18, 1581, 0, 0.22236717267552183, 7.03125, 0.16805090822179733,
19, 1581, 0, 0.22236717267552183, 7.03125, 0.16805090822179733,
20, 766, 0, 0.0020398172323759793, 1.5625, 0.0015288649706457925,
