LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 2793, 511.0, 12628.0, 229900, -18875.0, -1.0, 150528, -6292.0, -1.0, 2793, 12865.0, 13763.0, 229900,
1, 257.0, 3315.0, 419904, 113.0, 256.0, 2304, 511.0, 3441.0, 46656, -6292.0, -1.0, 50176, -6292.0, -1.0, 2304, 3681.0, 3863.0, 46656,
2, 257.0, 3315.0, 419904, 113.0, 256.0, 2304, 511.0, 3441.0, 46656, -6292.0, -1.0, 50176, -6292.0, -1.0, 2304, 3681.0, 3863.0, 46656,
3, 257.0, 3315.0, 419904, 113.0, 256.0, 2304, 511.0, 3441.0, 46656, -6292.0, -1.0, 50176, -6292.0, -1.0, 2304, 3681.0, 3863.0, 46656,
4, 257.0, 3315.0, 419904, 113.0, 256.0, 2304, 511.0, 3441.0, 46656, -6292.0, -1.0, 50176, -6292.0, -1.0, 2304, 3681.0, 3863.0, 46656,
5, 257.0, 1154.0, 112896, 113.0, 256.0, 4608, 511.0, 1325.0, 25088, -6292.0, -1.0, 50176, -6292.0, -1.0, 4608, 1549.0, 1646.0, 25088,
6, 257.0, 2405.0, 194688, 1.0, 1698.0, 4608, 511.0, 2643.0, 21632, -6292.0, -1.0, 25088, -6292.0, -1.0, 4608, 2883.0, 2967.0, 21632,
7, 257.0, 1082.0, 13456, 241.0, 256.0, 512, 511.0, 1382.0, 26912, -6292.0, -1.0, 12544, -6292.0, -1.0, 512, 1606.0, 1711.0, 26912,
8, 257.0, 2405.0, 194688, 1.0, 1698.0, 9216, 511.0, 2659.0, 43264, -6292.0, -1.0, 25088, -6292.0, -1.0, 9216, 2883.0, 3051.0, 43264,
9, 257.0, 2405.0, 194688, 1.0, 1698.0, 9216, 511.0, 2659.0, 43264, -6292.0, -1.0, 25088, -6292.0, -1.0, 9216, 2883.0, 3051.0, 43264,
10, 257.0, 1430.0, 56448, 1.0, 1218.0, 18432, 511.0, 1731.0, 25088, -6292.0, -1.0, 25088, -6292.0, -1.0, 18432, 1923.0, 2020.0, 25088,
11, 257.0, 2283.0, 82944, 1.0, 2076.0, 18432, 511.0, 2505.0, 13824, -6292.0, -1.0, 12544, -6292.0, -1.0, 18432, 2729.0, 2782.0, 13824,
12, 257.0, 496.0, 7200, 225.0, 256.0, 2048, 511.0, 798.0, 14400, -6292.0, -1.0, 6272, -6292.0, -1.0, 2048, 990.0, 1046.0, 14400,
13, 257.0, 2283.0, 82944, 1.0, 2076.0, 36864, 511.0, 2537.0, 27648, -6292.0, -1.0, 12544, -6292.0, -1.0, 36864, 2729.0, 2836.0, 27648,
14, 257.0, 2283.0, 82944, 1.0, 2076.0, 36864, 511.0, 2537.0, 27648, -6292.0, -1.0, 12544, -6292.0, -1.0, 36864, 2729.0, 2836.0, 27648,
15, 257.0, 1990.0, 28224, 1.0, 1886.0, 73728, 511.0, 2316.0, 18816, -6292.0, -1.0, 12544, -12583.0, -1.0, 73728, 2444.0, 2517.0, 18816,
16, 257.0, 3572.0, 28800, 1.0, 3420.0, 73728, 511.0, 3762.0, 8000, -6292.0, -1.0, 6272, -12583.0, -1.0, 73728, 3954.0, 3985.0, 8000,
17, 257.0, 374.0, 4096, 193.0, 256.0, 8192, 511.0, 701.0, 8192, -6292.0, -1.0, 3136, -6292.0, -1.0, 8192, 829.0, 860.0, 8192,
18, 257.0, 3572.0, 28800, 1.0, 3420.0, 147456, 511.0, 3826.0, 16000, -6292.0, -1.0, 6272, -18875.0, -1.0, 147456, 3954.0, 4016.0, 16000,
19, 257.0, 3572.0, 28800, 1.0, 3420.0, 147456, 511.0, 3826.0, 16000, -6292.0, -1.0, 6272, -18875.0, -1.0, 147456, 3954.0, 4016.0, 16000,
20, 257.0, 384.0, 128, 129.0, 256.0, 16384, 511.0, 638.0, 128, -6292.0, -1.0, 128, -6292.0, -1.0, 16384, 766.0, 766.0, 128,
