LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 49566.0, 1330668, 230.0, 256.0, 189, 511.0, 49800.0, 344988, -18875.0, -1.0, 150528, -6292.0, -1.0, 189, 50049.0, 51396.0, 344988,
1, 257.0, 12391.0, 435600, 221.0, 256.0, 288, 511.0, 12617.0, 96800, -6292.0, -1.0, 50176, -6292.0, -1.0, 288, 12865.0, 13243.0, 96800,
2, 257.0, 3243.0, 209952, 185.0, 256.0, 1152, 511.0, 3441.0, 46656, -6292.0, -1.0, 25088, -6292.0, -1.0, 1152, 3681.0, 3863.0, 46656,
3, 257.0, 3315.0, 419904, 113.0, 256.0, 2304, 511.0, 3441.0, 46656, -6292.0, -1.0, 50176, -6292.0, -1.0, 2304, 3681.0, 3863.0, 46656,
4, 257.0, 1075.0, 97344, 113.0, 256.0, 4608, 511.0, 1217.0, 21632, -6292.0, -1.0, 12544, -6292.0, -1.0, 4608, 1441.0, 1525.0, 21632,
5, 257.0, 2405.0, 194688, 1.0, 1698.0, 9216, 511.0, 2659.0, 43264, -6292.0, -1.0, 25088, -6292.0, -1.0, 9216, 2883.0, 3051.0, 43264,
6, 257.0, 1341.0, 41472, 1.0, 1166.0, 9216, 511.0, 1595.0, 9216, -6292.0, -1.0, 6272, -6292.0, -1.0, 9216, 1819.0, 1854.0, 9216,
7, 257.0, 12261.0, 290304, 1.0, 12086.0, 451584, 511.0, 12515.0, 451584, -6292.0, -1.0, 6272, -50332.0, -1.0, 451584, 12739.0, 14502.0, 451584,
8, 257.0, 4890.0, 1568, 1.0, 4858.0, 401408, 511.0, 5368.0, 1792, -6292.0, -1.0, 1568, -44040.0, -1.0, 401408, 5368.0, 5374.0, 1792,
9, 257.0, 512.0, 256, 1.0, 256.0, 65536, 511.0, 766.0, 256, -6292.0, -1.0, 256, -12583.0, -1.0, 65536, 766.0, 766.0, 256,
10, 257.0, 512.0, 256, 1.0, 256.0, 65536, 511.0, 766.0, 256, -6292.0, -1.0, 256, -12583.0, -1.0, 65536, 766.0, 766.0, 256,
