name,ifmap_h,ifmap_w,filter_h,filter_w,channels,num_filter,stride,type,ifmap_base_addr,filter_base_addr,ofmap_base_addr,
IB4e_3,14,14,1,1,256,1024,1,Conv,-1,-2,-1,
IB4f_1,14,14,1,1,1024,256,1,Conv,-1,-2,-1,
IB4f_2,14,14,3,3,256,256,1,Conv,-1,-2,-1,
IB4f_3,14,14,1,1,256,1024,1,Conv,-1,-2,-1,
CB5a_1,14,14,1,1,1024,512,2,Conv,-1,-2,-1,
CB5a_2,7,7,3,3,512,512,1,Conv,-1,-2,-1,
CB5a_3,7,7,1,1,512,2048,1,Conv,-1,-2,-1,
CB5s,14,14,1,1,1024,2048,2,Conv,4,-2,-1,
IB5b_1,7,7,1,1,2048,512,1,Conv,-1,-2,-1,
IB5b_2,7,7,3,3,512,512,1,Conv,-1,-2,-1,
IB5b_3,7,7,1,1,512,2048,1,Conv,-1,-2,-1,
IB5c_1,7,7,1,1,2048,512,1,Conv,-1,-2,-1,
IB5c_2,7,7,3,3,512,512,1,Conv,-1,-2,-1,
IB5c_3,7,7,1,1,512,2048,1,Conv,-1,-2,-1,
FC6,1,1,1,1,2048,1000,1,Conv,-1,-2,-1,
