Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
Conv1,224,224,7,7,3,64,2,Conv,-1,-1,-1,
Conv2,56,56,3,3,64,64,1,Conv,-1,-2,-1,
Conv3,56,56,3,3,64,64,1,Conv,-1,-2,-1,
Conv4,56,56,3,3,64,64,1,Conv,-1,-2,-1,
Conv5,56,56,3,3,64,64,1,Conv,-1,-2,-1,
Conv6,56,56,3,3,64,128,2,Conv,-1,-2,-1,
Conv7,28,28,3,3,128,64,1,Conv,-1,-2,-1,
Conv8,56,56,1,1,64,128,2,Conv,-1,-2,-1,
Conv9,28,28,3,3,128,128,1,-1,-2,-1
Conv10,28,28,3,3,128,128,1,-1,-2,-1
Conv11,28,28,3,3,128,256,1,-1,-2,-1
Conv12,14,14,3,3,256,128,1,-1,-2,-1
Conv13,28,28,1,1,128,256,2,-1,-2,-1
Conv14,14,14,3,3,256,256,1,-1,-2,-1
Conv15,14,14,3,3,256,512,2,-1,-2,-1
Conv16,14,14,3,3,256,512,2,-1,-2,-1
Conv17,7,7,3,3,512,256,1,-1,-2,-1
Conv18,14,14,1,1,256,512,2,-1,-2,-1
Conv19,7,7,3,3,512,512,1,-1,-2,-1
Conv20,7,7,3,3,512,512,1,-1,-2,-1
Conv21,1,1,1,1,512,512,1,-1,-2,-1
