Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
Conv1,224,224,3,3,3,64,1,Conv,-1,-1,-1,
Conv2,112,112,3,3,64,128,1,Conv,-1,-2,-1,
Conv3,56,56,3,3,128,256,1,Conv,-1,-2,-1,
Conv4,56,56,3,3,256,256,1,Conv,-1,-2,-1,
Conv5,28,28,3,3,256,512,1,Conv,-1,-2,-1,
Conv6,28,28,3,3,512,512,1,Conv,-1,-2,-1,
Conv7,14,14,3,3,512,512,1,Conv,-1,-2,-1,
Conv8,14,14,3,3,512,25088,1,Conv,-1,-2,-1,
Conv9,1,1,1,1,25088,4096,1,Conv,-1,-2,-1,
Conv10,1,1,1,1,4096,4096,1,Conv,-1,-2,-1,
Conv11,1,1,1,1,4096,4096,1,Conv,-1,-2,-1,
