Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
Conv1,224,224,7,7,3,64,2,Conv,0,0,159936,
CB2a_1,56,56,1,1,64,64,1,Conv,159936,159936,934336,
CB2a_2,56,56,3,3,64,64,1,Conv,934336,934336,1135040,
CB2a_3,56,56,1,1,64,256,1,Conv,1135040,1135040,1321664,
CB2s,56,56,1,1,64,256,1,Conv,159936,159936,2124480,
IB2b_1,56,56,1,1,256,64,1,Conv,2124480,2124480,2927296,
IB2b_2,56,56,3,3,64,64,1,Conv,2927296,2927296,3128000,
IB2b_3,56,56,1,1,64,256,1,Conv,3128000,3128000,3314624,
IB2c_1,56,56,1,1,256,64,1,Conv,3314624,3314624,4117440,
IB2c_2,56,56,3,3,64,64,1,Conv,4117440,4117440,4318144,
IB2c_3,56,56,1,1,64,256,1,Conv,4318144,4318144,4504768,
CB3a_1,56,56,1,1,256,128,2,Conv,4504768,4504768,5307584,
CB3a_2,28,28,3,3,128,128,1,Conv,5307584,5307584,5415232,
CB3a_3,28,28,1,1,128,512,1,Conv,5415232,5415232,5501760,
CB3s,56,56,1,1,256,512,2,Conv,4504768,4504768,5903168,
IB3b_1,28,28,1,1,512,128,1,Conv,5903168,5903168,6333760,
IB3b_2,28,28,3,3,128,128,1,Conv,6333760,6333760,6434112,
IB3b_3,28,28,1,1,128,512,1,Conv,6434112,6434112,6520640,
IB3c_1,28,28,1,1,512,128,1,Conv,6520640,6520640,6922048,
IB3c_2,28,28,3,3,128,128,1,Conv,6922048,6922048,7022400,
IB3c_3,28,28,1,1,128,512,1,Conv,7022400,7022400,7108928,
IB3d_1,28,28,1,1,512,128,1,Conv,7108928,7108928,7510336,
IB3d_2,28,28,3,3,128,128,1,Conv,7510336,7510336,7610688,
IB3d_3,28,28,1,1,128,512,1,Conv,7610688,7610688,7697216,
CB4a_1,28,28,1,1,512,256,2,Conv,7697216,7697216,8098624,
CB4a_2,14,14,3,3,256,256,1,Conv,8098624,8098624,8156224,
CB4a_3,14,14,1,1,256,1024,1,Conv,8156224,8156224,8688448,
CB4s,28,28,1,1,512,1024,2,Conv,7697216,7697216,8889152,

