Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
IB2b_2,56,56,3,3,64,64,1,Conv,0,0,237568,
IB2b_3,56,56,1,1,64,256,1,Conv,237568,237568,424192,
IB2c_1,56,56,1,1,256,64,1,Conv,424192,424192,1227008,
IB2c_2,56,56,3,3,64,64,1,Conv,1227008,1227008,1427712,
IB2c_3,56,56,1,1,64,256,1,Conv,1427712,1427712,1614336,
CB3a_1,56,56,1,1,256,128,2,Conv,1614336,1614336,2417152,
CB3a_2,28,28,3,3,128,128,1,Conv,2417152,2417152,2524800,
CB3a_3,28,28,1,1,128,512,1,Conv,2524800,2524800,2611328,
CB3s,56,56,1,1,256,512,2,Conv,1614336,1614336,3012736,

