request arrival cycle, request accepted cycle, ptw_idx, npu_idx
5, 5, 0, 0
5, 5, 1, 0
5, 5, 2, 0
5, 5, 3, 0
5, 5, 4, 0
5, 5, 5, 0
5, 5, 6, 0
5, 5, 7, 0
5, 405, 0, 0
5, 405, 1, 0
5, 405, 2, 0
5, 405, 3, 0
5, 405, 4, 0
5, 405, 5, 0
5, 405, 6, 0
5, 405, 7, 0
5, 805, 0, 0
5, 805, 1, 0
5, 805, 2, 0
5, 805, 3, 0
5, 805, 4, 0
5, 805, 5, 0
5, 805, 6, 0
5, 805, 7, 0
5, 1205, 0, 0
5, 1205, 1, 0
5, 1205, 2, 0
5, 1205, 3, 0
5, 1205, 4, 0
5, 1205, 5, 0
5, 1205, 6, 0
5, 1205, 7, 0
5, 1605, 0, 0
5, 1605, 1, 0
5, 1605, 2, 0
5, 1605, 3, 0
5, 1605, 4, 0
5, 1605, 5, 0
5, 1605, 6, 0
5, 1605, 7, 0
5, 2005, 0, 0
5, 2005, 1, 0
5, 2005, 2, 0
5, 2005, 3, 0
5, 2005, 4, 0
5, 2005, 5, 0
5, 2005, 6, 0
5, 2005, 7, 0
5, 2405, 0, 0
5, 2405, 1, 0
5, 2405, 2, 0
5, 2405, 3, 0
5, 2405, 4, 0
5, 2405, 5, 0
5, 2405, 6, 0
5, 2405, 7, 0
5, 2805, 0, 0
5, 2805, 1, 0
5, 2805, 2, 0
5, 2805, 3, 0
5, 2805, 4, 0
5, 2805, 5, 0
5, 2805, 6, 0
5, 2805, 7, 0
5, 3205, 0, 0
5, 3205, 1, 0
5, 3205, 2, 0
5, 3205, 3, 0
5, 3205, 4, 0
5, 3205, 5, 0
5, 3205, 6, 0
5, 3205, 7, 0
5, 3605, 0, 0
5, 3605, 1, 0
5, 3605, 2, 0
5, 3605, 3, 0
5, 3605, 4, 0
5, 3605, 5, 0
5, 3605, 6, 0
5, 3605, 7, 0
5, 4005, 0, 0
5, 4005, 1, 0
5, 4005, 2, 0
5, 4005, 3, 0
5, 4005, 4, 0
5, 4005, 5, 0
5, 4005, 6, 0
5, 4005, 7, 0
5, 4405, 0, 0
5, 4405, 1, 0
5, 4405, 2, 0
5, 4405, 3, 0
5, 4405, 4, 0
5, 4405, 5, 0
5, 4405, 6, 0
5, 4405, 7, 0
5, 4805, 0, 0
5, 4805, 1, 0
5, 4805, 2, 0
5, 4805, 3, 0
5, 4805, 4, 0
5, 4805, 5, 0
5, 4805, 6, 0
5, 4805, 7, 0
5, 5205, 0, 0
5, 5205, 1, 0
5, 5205, 2, 0
5, 5205, 3, 0
5, 5205, 4, 0
5, 5205, 5, 0
5, 5205, 6, 0
5, 5205, 7, 0
5, 5605, 0, 0
5, 5605, 1, 0
5, 5605, 2, 0
5, 5605, 3, 0
5, 5605, 4, 0
5, 5605, 5, 0
5, 5605, 6, 0
5, 5605, 7, 0
5, 6005, 0, 0
5, 6005, 1, 0
5, 6005, 2, 0
5, 6005, 3, 0
5, 6005, 4, 0
5, 6005, 5, 0
5, 6005, 6, 0
5, 6005, 7, 0
5, 6405, 0, 0
5, 6405, 1, 0
5, 6405, 2, 0
5, 6405, 3, 0
5, 6405, 4, 0
5, 6405, 5, 0
5, 6405, 6, 0
5, 6405, 7, 0
5, 6805, 0, 0
5, 6805, 1, 0
5, 6805, 2, 0
5, 6805, 3, 0
5, 6805, 4, 0
5, 6805, 5, 0
5, 6805, 6, 0
5, 6805, 7, 0
5, 7205, 0, 0
5, 7205, 1, 0
5, 7205, 2, 0
5, 7205, 3, 0
5, 7205, 4, 0
5, 7205, 5, 0
5, 7205, 6, 0
5, 7205, 7, 0
5, 7605, 0, 0
5, 7605, 1, 0
5, 7605, 2, 0
5, 7605, 3, 0
5, 7605, 4, 0
5, 7605, 5, 0
5, 7605, 6, 0
5, 7605, 7, 0
5, 8005, 0, 0
5, 8005, 1, 0
5, 8005, 2, 0
5, 8005, 3, 0
5, 8005, 4, 0
5, 8005, 5, 0
5, 8005, 6, 0
5, 8005, 7, 0
5, 8405, 0, 0
5, 8405, 1, 0
5, 8405, 2, 0
5, 8405, 3, 0
5, 8405, 4, 0
5, 8405, 5, 0
5, 8405, 6, 0
5, 8405, 7, 0
5, 8805, 0, 0
5, 8805, 1, 0
5, 8805, 2, 0
5, 8805, 3, 0
5, 8805, 4, 0
