Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
Conv1_T0,96,1,1,1,363,3025,1,Conv,0,34848,1132923,
Conv2_T0,256,1,1,1,2400,729,1,Conv,1132923,1423323,3172923,
Conv3_T0,384,1,1,1,2304,169,1,Conv,3172923,3359547,3748923,
Conv4_T0,384,1,1,1,3456,169,1,Conv,3748923,3813819,4397883,
Conv5_T0,256,1,1,1,3456,169,1,Conv,4397883,4462779,5046843,
FC1_T0,4096,1,1,1,1536,1,1,Conv,5046843,5090107,5099323,
FC1_T1,4096,1,1,1,1536,1,1,Conv,11338299,5091643,5099323,
FC1_T2,4096,1,1,1,1536,1,1,Conv,17629755,5093179,5099323,
FC1_T3,4096,1,1,1,1536,1,1,Conv,23921211,5094715,5099323,
FC1_T4,4096,1,1,1,1536,1,1,Conv,30212667,5096251,5099323,
FC1_T5,4096,1,1,1,1536,1,1,Conv,36504123,5097787,5099323,
FC2_T0,4096,1,1,1,1536,1,1,Conv,5099323,5103419,5107515,
FC2_T1,4096,1,1,1,1536,1,1,Conv,11390779,5104955,5107515,
FC2_T2,4096,1,1,1,1024,1,1,Conv,17682235,5106491,5107515,
FC3_T0,1000,1,1,1,4096,1,1,Conv,5107515,5111611,5115707,

