request arrival cycle, request accepted cycle, ptw_idx, npu_idx
5, 5, 0, 0
5, 5, 1, 0
5, 5, 2, 0
5, 5, 3, 0
5, 5, 4, 0
5, 5, 5, 0
5, 5, 6, 0
5, 5, 7, 0
5, 405, 0, 0
5, 405, 1, 0
5, 405, 2, 0
5, 405, 3, 0
5, 405, 4, 0
5, 405, 5, 0
5, 405, 6, 0
5, 405, 7, 0
5, 805, 0, 0
5, 805, 1, 0
5, 805, 2, 0
5, 805, 3, 0
5, 805, 4, 0
5, 805, 5, 0
5, 805, 6, 0
5, 805, 7, 0
5, 1205, 0, 0
5, 1205, 1, 0
5, 1205, 2, 0
5, 1205, 3, 0
90783, 90783, 4, 0
90783, 90783, 5, 0
90783, 90783, 6, 0
90783, 90783, 7, 0
90783, 90783, 0, 0
90783, 90783, 1, 0
90783, 90783, 2, 0
90783, 90783, 3, 0
90783, 91183, 0, 0
90783, 91183, 1, 0
90783, 91183, 2, 0
90783, 91183, 3, 0
90783, 91183, 4, 0
90783, 91183, 5, 0
90783, 91183, 6, 0
90783, 91183, 7, 0
90783, 91583, 0, 0
90783, 91583, 1, 0
90783, 91583, 2, 0
90783, 91583, 3, 0
90783, 91583, 4, 0
90783, 91583, 5, 0
90783, 91583, 6, 0
90783, 91583, 7, 0
90783, 91983, 0, 0
90783, 91983, 1, 0
90783, 91983, 2, 0
90783, 91983, 3, 0
90783, 91983, 4, 0
90783, 91983, 5, 0
90783, 91983, 6, 0
90783, 91983, 7, 0
90783, 92383, 0, 0
90783, 92383, 1, 0
90783, 92383, 2, 0
90783, 92383, 3, 0
90783, 92383, 4, 0
90783, 92383, 5, 0
90783, 92383, 6, 0
90783, 92383, 7, 0
90783, 92783, 0, 0
90783, 92783, 1, 0
90783, 92783, 2, 0
90783, 92783, 3, 0
90783, 92783, 4, 0
90783, 92783, 5, 0
90783, 92783, 6, 0
90783, 92783, 7, 0
90783, 93183, 0, 0
90783, 93183, 1, 0
90783, 93183, 2, 0
90783, 93183, 3, 0
90783, 93183, 4, 0
90783, 93183, 5, 0
90783, 93183, 6, 0
90783, 93183, 7, 0
90783, 93583, 0, 0
90783, 93583, 1, 0
90783, 93583, 2, 0
90783, 93583, 3, 0
90783, 93583, 4, 0
90783, 93583, 5, 0
90783, 93583, 6, 0
90783, 93583, 7, 0
90783, 93983, 0, 0
90783, 93983, 1, 0
90783, 93983, 2, 0
90783, 93983, 3, 0
90783, 93983, 4, 0
90783, 93983, 5, 0
90783, 93983, 6, 0
90783, 93983, 7, 0
90783, 94383, 0, 0
90783, 94383, 1, 0
90783, 94383, 2, 0
90783, 94383, 3, 0
90783, 94383, 4, 0
90783, 94383, 5, 0
90783, 94383, 6, 0
90783, 94383, 7, 0
90783, 94783, 0, 0
90783, 94783, 1, 0
90783, 94783, 2, 0
90783, 94783, 3, 0
90783, 94783, 4, 0
90783, 94783, 5, 0
90783, 94783, 6, 0
90783, 94783, 7, 0
90783, 95183, 0, 0
90783, 95183, 1, 0
90783, 95183, 2, 0
90783, 95183, 3, 0
90783, 95183, 4, 0
90783, 95183, 5, 0
90783, 95183, 6, 0
90783, 95183, 7, 0
90783, 95583, 0, 0
90783, 95583, 1, 0
90783, 95583, 2, 0
90783, 95583, 3, 0
90783, 95583, 4, 0
90783, 95583, 5, 0
90783, 95583, 6, 0
90783, 95583, 7, 0
90783, 95983, 0, 0
90783, 95983, 1, 0
90783, 95983, 2, 0
90783, 95983, 3, 0
90783, 95983, 4, 0
90783, 95983, 5, 0
90783, 95983, 6, 0
90783, 95983, 7, 0
90783, 96383, 0, 0
90783, 96383, 1, 0
90783, 96383, 2, 0
90783, 96383, 3, 0
90783, 96383, 4, 0
90783, 96383, 5, 0
90783, 96383, 6, 0
90783, 96383, 7, 0
90783, 96783, 0, 0
90783, 96783, 1, 0
90783, 96783, 2, 0
90783, 96783, 3, 0
90783, 96783, 4, 0
90783, 96783, 5, 0
90783, 96783, 6, 0
90783, 96783, 7, 0
90783, 97183, 0, 0
90783, 97183, 1, 0
90783, 97183, 2, 0
90783, 97183, 3, 0
90783, 97183, 4, 0
90783, 97183, 5, 0
90783, 97183, 6, 0
90783, 97183, 7, 0
90783, 97583, 0, 0
90783, 97583, 1, 0
90783, 97583, 2, 0
90783, 97583, 3, 0
90783, 97583, 4, 0
90783, 97583, 5, 0
