request arrival cycle, request accepted cycle, ptw_idx, npu_idx
5, 5, 0, 0
5, 5, 1, 0
5, 5, 2, 0
5, 5, 3, 0
5, 5, 4, 0
5, 5, 5, 0
5, 5, 6, 0
5, 5, 7, 0
5, 405, 0, 0
5, 405, 1, 0
5, 405, 2, 0
5, 405, 3, 0
5, 405, 4, 0
5, 405, 5, 0
5, 405, 6, 0
5, 405, 7, 0
5452, 5452, 0, 0
5452, 5452, 1, 0
5452, 5452, 2, 0
5452, 5452, 3, 0
5452, 5452, 4, 0
5452, 5452, 5, 0
5452, 5452, 6, 0
5452, 5452, 7, 0
5452, 5852, 0, 0
5452, 5852, 1, 0
5452, 5852, 2, 0
5452, 5852, 3, 0
5452, 5852, 4, 0
5452, 5852, 5, 0
5452, 5852, 6, 0
5452, 5852, 7, 0
5452, 6252, 0, 0
5452, 6252, 1, 0
5452, 6252, 2, 0
5452, 6252, 3, 0
5452, 6252, 4, 0
5452, 6252, 5, 0
5452, 6252, 6, 0
5452, 6252, 7, 0
5452, 6652, 0, 0
5452, 6652, 1, 0
5452, 6652, 2, 0
5452, 6652, 3, 0
5452, 6652, 4, 0
5452, 6652, 5, 0
5452, 6652, 6, 0
5452, 6652, 7, 0
5452, 7052, 0, 0
5452, 7052, 1, 0
5452, 7052, 2, 0
5452, 7052, 3, 0
5452, 7052, 4, 0
5452, 7052, 5, 0
5452, 7052, 6, 0
5452, 7052, 7, 0
5452, 7452, 0, 0
5452, 7452, 1, 0
5452, 7452, 2, 0
5452, 7452, 3, 0
5452, 7452, 4, 0
5452, 7452, 5, 0
5452, 7452, 6, 0
5452, 7452, 7, 0
5452, 7852, 0, 0
5452, 7852, 1, 0
5452, 7852, 2, 0
5452, 7852, 3, 0
5452, 7852, 4, 0
5452, 7852, 5, 0
5452, 7852, 6, 0
5452, 7852, 7, 0
5452, 8252, 0, 0
5452, 8252, 1, 0
5452, 8252, 2, 0
5452, 8252, 3, 0
5452, 8252, 4, 0
5452, 8252, 5, 0
5452, 8252, 6, 0
5452, 8252, 7, 0
5452, 8652, 0, 0
5452, 8652, 1, 0
5452, 8652, 2, 0
5452, 8652, 3, 0
5452, 8652, 4, 0
5452, 8652, 5, 0
5452, 8652, 6, 0
5452, 8652, 7, 0
5452, 9052, 0, 0
5452, 9052, 1, 0
5452, 9052, 2, 0
5452, 9052, 3, 0
5452, 9052, 4, 0
5452, 9052, 5, 0
5452, 9052, 6, 0
5452, 9052, 7, 0
5452, 9452, 0, 0
5452, 9452, 1, 0
5452, 9452, 2, 0
5452, 9452, 3, 0
5452, 9452, 4, 0
5452, 9452, 5, 0
5452, 9452, 6, 0
5452, 9452, 7, 0
5452, 9852, 0, 0
5452, 9852, 1, 0
5452, 9852, 2, 0
5452, 9852, 3, 0
5452, 9852, 4, 0
5452, 9852, 5, 0
5452, 9852, 6, 0
5452, 9852, 7, 0
5452, 10252, 0, 0
5452, 10252, 1, 0
5452, 10252, 2, 0
5452, 10252, 3, 0
5452, 10252, 4, 0
5452, 10252, 5, 0
5452, 10252, 6, 0
5452, 10252, 7, 0
5452, 10652, 0, 0
5452, 10652, 1, 0
5452, 10652, 2, 0
5452, 10652, 3, 0
5452, 10652, 4, 0
5452, 10652, 5, 0
5452, 10652, 6, 0
5452, 10652, 7, 0
5452, 11052, 0, 0
5452, 11052, 1, 0
5452, 11052, 2, 0
5452, 11052, 3, 0
5452, 11052, 4, 0
5452, 11052, 5, 0
5452, 11052, 6, 0
5452, 11052, 7, 0
5452, 11452, 0, 0
5452, 11452, 1, 0
5452, 11452, 2, 0
5452, 11452, 3, 0
5452, 11452, 4, 0
5452, 11452, 5, 0
5452, 11452, 6, 0
5452, 11452, 7, 0
5452, 11852, 0, 0
5452, 11852, 1, 0
5452, 11852, 2, 0
5452, 11852, 3, 0
5452, 11852, 4, 0
5452, 11852, 5, 0
5452, 11852, 6, 0
5452, 11852, 7, 0
5452, 12252, 0, 0
5452, 12252, 1, 0
5452, 12252, 2, 0
5452, 12252, 3, 0
5452, 12252, 4, 0
5452, 12252, 5, 0
5452, 12252, 6, 0
5452, 12252, 7, 0
5452, 12652, 0, 0
5452, 12652, 1, 0
5452, 12652, 2, 0
5452, 12652, 3, 0
5452, 12652, 4, 0
5452, 12652, 5, 0
5452, 12652, 6, 0
5452, 12652, 7, 0
