request arrival cycle, request accepted cycle, ptw_idx, npu_idx
5, 5, 0, 0
5, 5, 1, 0
5, 5, 2, 0
5, 5, 3, 0
5, 5, 4, 0
5, 5, 5, 0
5, 5, 6, 0
5, 5, 7, 0
5, 405, 0, 0
5, 405, 1, 0
5, 405, 2, 0
5, 405, 3, 0
5, 405, 4, 0
5, 405, 5, 0
5, 405, 6, 0
5, 405, 7, 0
5, 805, 0, 0
5, 805, 1, 0
5, 805, 2, 0
5, 805, 3, 0
5, 805, 4, 0
5, 805, 5, 0
5, 805, 6, 0
5, 805, 7, 0
5, 1205, 0, 0
5, 1205, 1, 0
5, 1205, 2, 0
5, 1205, 3, 0
5, 1205, 4, 0
5, 1205, 5, 0
5, 1205, 6, 0
5, 1205, 7, 0
5, 1605, 0, 0
5, 1605, 1, 0
5, 1605, 2, 0
5, 1605, 3, 0
5, 1605, 4, 0
16392, 16392, 5, 0
16392, 16392, 6, 0
16392, 16392, 7, 0
16392, 16392, 0, 0
16392, 16392, 1, 0
16392, 16392, 2, 0
16392, 16392, 3, 0
16392, 16392, 4, 0
16392, 16792, 0, 0
16392, 16792, 1, 0
16392, 16792, 2, 0
16392, 16792, 3, 0
16392, 16792, 4, 0
16392, 16792, 5, 0
16392, 16792, 6, 0
16392, 16792, 7, 0
16392, 17192, 0, 0
16392, 17192, 1, 0
16392, 17192, 2, 0
16392, 17192, 3, 0
16392, 17192, 4, 0
16392, 17192, 5, 0
16392, 17192, 6, 0
16392, 17192, 7, 0
16392, 17592, 0, 0
16392, 17592, 1, 0
16392, 17592, 2, 0
16392, 17592, 3, 0
16392, 17592, 4, 0
16392, 17592, 5, 0
16392, 17592, 6, 0
16392, 17592, 7, 0
16392, 17992, 0, 0
16392, 17992, 1, 0
16392, 17992, 2, 0
16392, 17992, 3, 0
16392, 17992, 4, 0
16392, 17992, 5, 0
16392, 17992, 6, 0
16392, 17992, 7, 0
16392, 18392, 0, 0
16392, 18392, 1, 0
16392, 18392, 2, 0
16392, 18392, 3, 0
16392, 18392, 4, 0
16392, 18392, 5, 0
16392, 18392, 6, 0
16392, 18392, 7, 0
16392, 18792, 0, 0
16392, 18792, 1, 0
16392, 18792, 2, 0
16392, 18792, 3, 0
16392, 18792, 4, 0
16392, 18792, 5, 0
16392, 18792, 6, 0
16392, 18792, 7, 0
16392, 19192, 0, 0
16392, 19192, 1, 0
16392, 19192, 2, 0
16392, 19192, 3, 0
16392, 19192, 4, 0
16392, 19192, 5, 0
16392, 19192, 6, 0
16392, 19192, 7, 0
16392, 19592, 0, 0
16392, 19592, 1, 0
16392, 19592, 2, 0
16392, 19592, 3, 0
16392, 19592, 4, 0
16392, 19592, 5, 0
16392, 19592, 6, 0
16392, 19592, 7, 0
16392, 19992, 0, 0
16392, 19992, 1, 0
16392, 19992, 2, 0
16392, 19992, 3, 0
16392, 19992, 4, 0
16392, 19992, 5, 0
16392, 19992, 6, 0
16392, 19992, 7, 0
16392, 20392, 0, 0
16392, 20392, 1, 0
16392, 20392, 2, 0
16392, 20392, 3, 0
16392, 20392, 4, 0
16392, 20392, 5, 0
16392, 20392, 6, 0
16392, 20392, 7, 0
16392, 20792, 0, 0
16392, 20792, 1, 0
16392, 20792, 2, 0
16392, 20792, 3, 0
16392, 20792, 4, 0
16392, 20792, 5, 0
16392, 20792, 6, 0
16392, 20792, 7, 0
16392, 21192, 0, 0
16392, 21192, 1, 0
16392, 21192, 2, 0
16392, 21192, 3, 0
16392, 21192, 4, 0
16392, 21192, 5, 0
16392, 21192, 6, 0
16392, 21192, 7, 0
16392, 21592, 0, 0
16392, 21592, 1, 0
16392, 21592, 2, 0
16392, 21592, 3, 0
16392, 21592, 4, 0
16392, 21592, 5, 0
16392, 21592, 6, 0
16392, 21592, 7, 0
16392, 21992, 0, 0
16392, 21992, 1, 0
16392, 21992, 2, 0
16392, 21992, 3, 0
16392, 21992, 4, 0
16392, 21992, 5, 0
16392, 21992, 6, 0
16392, 21992, 7, 0
16392, 22392, 0, 0
16392, 22392, 1, 0
16392, 22392, 2, 0
16392, 22392, 3, 0
16392, 22392, 4, 0
16392, 22392, 5, 0
16392, 22392, 6, 0
16392, 22392, 7, 0
16392, 22792, 0, 0
16392, 22792, 1, 0
16392, 22792, 2, 0
16392, 22792, 3, 0
16392, 22792, 4, 0
