Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
Conv1,224,224,7,7,3,64,2,Conv,0,0,159936,
CB2a_1,56,56,1,1,64,64,1,Conv,159936,159936,934336,
CB2a_2,56,56,3,3,64,64,1,Conv,934336,934336,1135040,
CB2a_3,56,56,1,1,64,256,1,Conv,1135040,1135040,1321664,
CB2s,56,56,1,1,64,256,1,Conv,159936,159936,2124480,
IB2b_1,56,56,1,1,256,64,1,Conv,2124480,2124480,2927296,
IB2b_2,56,56,3,3,64,64,1,Conv,2927296,2927296,3128000,
IB2b_3,56,56,1,1,64,256,1,Conv,3128000,3128000,3314624,
IB2c_1,56,56,1,1,256,64,1,Conv,3314624,3314624,4117440,
IB2c_2,56,56,3,3,64,64,1,Conv,4117440,4117440,4318144,
IB2c_3,56,56,1,1,64,256,1,Conv,4318144,4318144,4504768,
CB3a_1,56,56,1,1,256,128,2,Conv,4504768,4504768,5307584,
CB3a_2,28,28,3,3,128,128,1,Conv,5307584,5307584,5415232,
CB3a_3,28,28,1,1,128,512,1,Conv,5415232,5415232,5501760,
CB3s,56,56,1,1,256,512,2,Conv,4504768,4504768,5903168,
IB3b_1,28,28,1,1,512,128,1,Conv,5903168,5903168,6333760,
IB3b_2,28,28,3,3,128,128,1,Conv,6333760,6333760,6434112,
IB3b_3,28,28,1,1,128,512,1,Conv,6434112,6434112,6520640,
IB3c_1,28,28,1,1,512,128,1,Conv,6520640,6520640,6922048,
IB3c_2,28,28,3,3,128,128,1,Conv,6922048,6922048,7022400,
IB3c_3,28,28,1,1,128,512,1,Conv,7022400,7022400,7108928,
IB3d_1,28,28,1,1,512,128,1,Conv,7108928,7108928,7510336,
IB3d_2,28,28,3,3,128,128,1,Conv,7510336,7510336,7610688,
IB3d_3,28,28,1,1,128,512,1,Conv,7610688,7610688,7697216,
CB4a_1,28,28,1,1,512,256,2,Conv,7697216,7697216,8098624,
CB4a_2,14,14,3,3,256,256,1,Conv,8098624,8098624,8156224,
CB4a_3,14,14,1,1,256,1024,1,Conv,8156224,8156224,8688448,
CB4s,28,28,1,1,512,1024,2,Conv,7697216,7697216,8889152,
IB4b_1,14,14,1,1,1024,256,1,Conv,8889152,8889152,9119552,
IB4b_2,14,14,3,3,256,256,1,Conv,9119552,9119552,9169728,
IB4b_3,14,14,1,1,256,1024,1,Conv,9169728,9169728,9709376,
IB4c_1,14,14,1,1,1024,256,1,Conv,9709376,9709376,9910080,
IB4c_2,14,14,3,3,256,256,1,Conv,9910080,9910080,9971520,
IB4c_3,14,14,1,1,256,1024,1,Conv,9971520,9971520,10499904,
IB4d_1,14,14,1,1,1024,256,1,Conv,10499904,10499904,10700608,
IB4d_2,14,14,3,3,256,256,1,Conv,10700608,10700608,10762048,
IB4d_3,14,14,1,1,256,1024,1,Conv,10762048,10762048,11290432,
IB4e_1,14,14,1,1,1024,256,1,Conv,11290432,11290432,11491136,
IB4e_2,14,14,3,3,256,256,1,Conv,11491136,11491136,11552576,
IB4e_3,14,14,1,1,256,1024,1,Conv,11552576,11552576,12080960,
IB4f_1,14,14,1,1,1024,256,1,Conv,12080960,12080960,12281664,
IB4f_2,14,14,3,3,256,256,1,Conv,12281664,12281664,12343104,
IB4f_3,14,14,1,1,256,1024,1,Conv,12343104,12343104,12871488,
CB5a_1,14,14,1,1,1024,512,2,Conv,12871488,12871488,13072192,
CB5a_2,7,7,3,3,512,512,1,Conv,13072192,13072192,13395776,
CB5a_3,7,7,1,1,512,2048,1,Conv,13395776,13395776,15431488,
CB5s,14,14,1,1,1024,2048,2,Conv,12871488,12871488,15531840,
IB5b_1,7,7,1,1,2048,512,1,Conv,15531840,15531840,15662912,
IB5b_2,7,7,3,3,512,512,1,Conv,15662912,15662912,16580416,
IB5b_3,7,7,1,1,512,2048,1,Conv,16580416,16580416,18022208,
IB5c_1,7,7,1,1,2048,512,1,Conv,18022208,18022208,18122560,
IB5c_2,7,7,3,3,512,512,1,Conv,18122560,18122560,19070784,
IB5c_3,7,7,1,1,512,2048,1,Conv,19070784,19070784,20481856,
FC6,1,1,1,1,2048,1000,1,Conv,20481856,20481856,20582208,

