Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
Conv1,224,224,3,3,3,64,1,Conv,0,0,152256,
Conv2,112,112,3,3,64,128,1,Conv,152256,152256,3306432,
Conv3,56,56,3,3,128,256,1,Conv,3306432,3306432,4855232,
Conv4,56,56,3,3,256,256,1,Conv,4855232,4855232,5601728,
Conv5,28,28,3,3,256,512,1,Conv,5601728,5601728,6348224,
Conv6,28,28,3,3,512,512,1,Conv,6348224,6348224,6781376,
Conv7,14,14,3,3,512,512,1,Conv,6781376,6781376,8707520,
Conv8,14,14,3,3,512,25088,1,Conv,8707520,8707520,9140672,
Conv9,1,1,1,1,25088,4096,1,Conv,9140672,9140672,124313024,
Conv10,1,1,1,1,4096,4096,1,Conv,124313024,124313024,124317120,
Conv11,1,1,1,1,4096,4096,1,Conv,124317120,124317120,141090240,

