Layer name,IFMAP height,IFMAP width,Filter height,Filter width,Channels,Num filter,Stride height,Stride width,
Conv2d_1,224,224,7,7,2,33,2,2,
Conv2d_2,56,56,3,3,32,32,1,1,
Conv2d_3,56,56,3,3,32,32,1,1,
Conv2d_4,56,56,3,3,32,32,1,1,
Conv2d_5,56,56,3,3,32,32,1,1,
Conv2d_6,56,56,3,3,32,64,2,2,
Conv2d_7,28,28,3,3,64,32,1,1,
Conv2d_8,56,56,1,1,32,64,2,2,
Conv2d_9,28,28,3,3,64,64,1,1,
Conv2d_10,28,28,3,3,64,64,1,1,
Conv2d_11,28,28,3,3,64,128,2,2,
Conv2d_12,14,14,3,3,128,64,1,1,
Conv2d_13,28,28,1,1,64,128,2,2,
Conv2d_14,14,14,3,3,128,128,1,1,
Conv2d_15,14,14,3,3,128,128,1,1,
Conv2d_16,14,14,3,3,128,256,2,2,
Conv2d_17,7,7,3,3,256,128,1,1,
Conv2d_18,14,14,1,1,128,256,2,2,
Conv2d_19,7,7,3,3,256,256,1,1,
Conv2d_20,7,7,3,3,256,256,1,1,
Linear_21,1,1,1,1,256,256,1,1,
